id_movie,score_num,year_released
400001,8.4,1980
400002,5.8,1980
400003,8.7,1980
400004,7.7,1980
400005,7.3,1980
400006,6.4,1980
400007,7.9,1980
400008,8.2,1980
400009,6.8,1980
400010,7.0,1980
400011,6.1,1980
400012,7.3,1980
400013,5.3,1980
400014,7.7,1980
400015,7.1,1980
400016,7.2,1980
400017,6.6,1980
400018,6.9,1980
400019,6.8,1980
400020,6.8,1980
400021,6.5,1980
400022,6.8,1980
400023,6.7,1980
400024,5.3,1980
400025,6.4,1980
400026,6.9,1980
400027,6.5,1980
400028,5.0,1980
400029,7.2,1980
400030,6.2,1980
400031,7.1,1980
400032,5.4,1980
400033,5.3,1980
400034,6.1,1980
400035,6.7,1980
400036,6.2,1980
400037,6.3,1980
400038,6.0,1980
400039,5.9,1980
400040,7.5,1980
400041,6.3,1980
400042,7.9,1980
400043,7.1,1980
400044,6.6,1980
400045,4.8,1980
400046,6.1,1980
400047,5.3,1980
400048,4.6,1980
400049,5.1,1980
400050,8.3,1980
400051,7.3,1980
400052,6.8,1980
400053,4.2,1980
400054,6.1,1980
400055,7.0,1980
400056,6.7,1980
400057,4.6,1980
400058,5.4,1980
400059,5.1,1980
400060,5.3,1980
400061,5.0,1980
400062,6.7,1980
400063,5.5,1980
400064,6.3,1980
400065,7.3,1980
400066,6.3,1980
400067,8.1,1980
400068,5.1,1980
400069,6.6,1980
400070,6.0,1980
400071,4.7,1980
400072,7.3,1980
400073,5.5,1980
400074,5.2,1980
400075,5.5,1980
400076,5.8,1980
400077,6.3,1980
400078,5.9,1980
400079,7.4,1980
400080,6.9,1980
400081,4.0,1980
400082,4.8,1980
400083,5.2,1980
400084,7.9,1980
400085,5.2,1980
400086,6.5,1980
400087,5.8,1980
400088,4.3,1980
400089,6.8,1980
400090,6.5,1980
400091,4.3,1980
400092,6.7,1980
400093,8.4,1981
400094,7.4,1981
400095,7.5,1981
400096,7.2,1981
400097,7.5,1981
400098,6.2,1981
400099,7.4,1981
400100,6.9,1981
400101,7.4,1981
400102,7.6,1981
400103,8.3,1981
400104,6.9,1981
400105,7.4,1981
400106,6.2,1981
400107,7.4,1981
400108,4.9,1981
400109,7.0,1981
400110,6.8,1981
400111,6.1,1981
400112,6.8,1981
400113,6.7,1981
400114,6.5,1981
400115,6.8,1981
400116,7.3,1981
400117,7.6,1981
400118,7.3,1981
400119,7.2,1981
400120,6.9,1981
400121,3.4,1981
400122,6.7,1981
400123,6.9,1981
400124,7.8,1981
400125,5.8,1981
400126,6.6,1981
400127,6.9,1981
400128,6.6,1981
400129,6.7,1981
400130,6.9,1981
400131,7.3,1981
400132,5.6,1981
400133,6.7,1981
400134,5.2,1981
400135,6.6,1981
400136,7.3,1981
400137,5.6,1981
400138,6.0,1981
400139,7.4,1981
400140,6.6,1981
400141,7.2,1981
400142,6.4,1981
400143,6.8,1981
400144,6.3,1981
400145,6.3,1981
400146,5.9,1981
400147,6.5,1981
400148,7.0,1981
400149,7.2,1981
400150,6.3,1981
400151,6.1,1981
400152,6.4,1981
400153,6.2,1981
400154,6.3,1981
400155,5.6,1981
400156,5.9,1981
400157,7.1,1981
400158,6.3,1981
400159,5.5,1981
400160,7.5,1981
400161,5.5,1981
400162,6.2,1981
400163,7.2,1981
400164,5.8,1981
400165,6.7,1981
400166,6.0,1981
400167,6.2,1981
400168,5.4,1981
400169,5.6,1981
400170,5.5,1981
400171,6.0,1981
400172,6.3,1981
400173,4.9,1981
400174,5.1,1981
400175,6.5,1981
400176,7.2,1981
400177,5.1,1981
400178,5.2,1981
400179,5.6,1981
400180,5.5,1981
400181,6.8,1981
400182,5.9,1981
400183,6.5,1981
400184,6.1,1981
400185,7.0,1981
400186,4.3,1981
400187,5.6,1981
400188,5.0,1981
400189,6.8,1981
400190,7.3,1981
400191,2.7,1981
400192,5.5,1981
400193,5.6,1981
400194,5.4,1981
400195,6.5,1981
400196,5.2,1981
400197,4.9,1981
400198,5.5,1981
400199,2.9,1981
400200,5.0,1981
400201,5.8,1981
400202,5.1,1981
400203,5.1,1981
400204,6.9,1981
400205,6.3,1981
400206,7.2,1982
400207,8.1,1982
400208,8.1,1982
400209,6.9,1982
400210,7.8,1982
400211,7.7,1982
400212,7.0,1982
400213,4.4,1982
400214,6.6,1982
400215,7.3,1982
400216,6.9,1982
400217,7.7,1982
400218,4.9,1982
400219,6.3,1982
400220,7.6,1982
400221,8.0,1982
400222,7.4,1982
400223,6.8,1982
400224,7.6,1982
400225,7.8,1982
400226,6.8,1982
400227,6.2,1982
400228,6.9,1982
400229,7.3,1982
400230,8.0,1982
400231,6.2,1982
400232,8.1,1982
400233,5.7,1982
400234,6.0,1982
400235,5.0,1982
400236,7.2,1982
400237,7.7,1982
400238,6.1,1982
400239,4.9,1982
400240,5.9,1982
400241,7.2,1982
400242,7.1,1982
400243,6.0,1982
400244,7.1,1982
400245,6.6,1982
400246,5.7,1982
400247,7.6,1982
400248,7.4,1982
400249,6.7,1982
400250,6.2,1982
400251,5.8,1982
400252,6.0,1982
400253,7.1,1982
400254,5.6,1982
400255,6.0,1982
400256,5.5,1982
400257,3.7,1982
400258,6.3,1982
400259,6.9,1982
400260,5.5,1982
400261,7.7,1982
400262,7.3,1982
400263,4.9,1982
400264,6.7,1982
400265,7.0,1982
400266,6.5,1982
400267,3.6,1982
400268,5.9,1982
400269,6.5,1982
400270,5.5,1982
400271,7.4,1982
400272,6.1,1982
400273,3.9,1982
400274,6.9,1982
400275,6.6,1982
400276,5.6,1982
400277,7.2,1982
400278,6.4,1982
400279,5.0,1982
400280,6.0,1982
400281,6.4,1982
400282,6.0,1982
400283,6.6,1982
400284,6.5,1982
400285,5.5,1982
400286,6.9,1982
400287,5.1,1982
400288,6.4,1982
400289,5.7,1982
400290,4.9,1982
400291,4.7,1982
400292,5.6,1982
400293,6.2,1982
400294,6.5,1982
400295,6.3,1982
400296,5.3,1982
400297,5.7,1982
400298,5.7,1982
400299,7.0,1982
400300,6.2,1982
400301,5.6,1982
400302,6.2,1982
400303,6.2,1982
400304,6.5,1982
400305,5.9,1982
400306,6.0,1982
400307,3.5,1982
400308,4.7,1982
400309,7.4,1982
400310,5.7,1982
400311,5.8,1982
400312,6.5,1982
400313,6.1,1982
400314,4.4,1982
400315,6.8,1982
400316,5.3,1982
400317,7.7,1982
400318,7.1,1982
400319,5.1,1982
400320,3.9,1982
400321,6.2,1982
400322,7.2,1982
400323,6.1,1982
400324,5.8,1982
400325,6.8,1982
400326,6.3,1982
400327,5.7,1982
400328,3.8,1982
400329,7.0,1982
400330,6.7,1982
400331,6.8,1982
400332,8.3,1983
400333,7.1,1983
400334,8.3,1983
400335,6.8,1983
400336,7.4,1983
400337,7.5,1983
400338,5.0,1983
400339,7.2,1983
400340,4.7,1983
400341,3.7,1983
400342,6.7,1983
400343,6.3,1983
400344,6.2,1983
400345,7.1,1983
400346,7.8,1983
400347,6.1,1983
400348,4.9,1983
400349,7.2,1983
400350,6.5,1983
400351,5.3,1983
400352,6.4,1983
400353,7.2,1983
400354,7.2,1983
400355,7.4,1983
400356,6.5,1983
400357,6.2,1983
400358,7.9,1983
400359,6.1,1983
400360,6.6,1983
