id_director,name_d
100361,Tony Scott
100362,Stan Dragoti
100364,Jim McBride
100365,Richard Franklin
100366,Bill Forsyth
100369,Michael Chapman
100371,George Bowers
100372,Barbra Streisand
100375,Mel Damski
100376,Terry Jones
100377,Andrei Tarkovsky
100379,Dick Lowry
100380,James Sbardellati
100382,Jack Clayton
100384,Bob Fosse
100387,James Signorelli
100388,Nagisa Ôshima
100389,Curtis Hanson
100390,Rafal Zielinski
100391,Douglas Trumbull
100393,Robert Vincent O'Neil
100394,J. Lee Thompson
100397,Howard Avedis
100399,Andrew V. McLaglen
100400,John Herzfeld
100401,Paul Nicholas
100403,Brian G. Hutton
100404,Carroll Ballard
100405,Wilford Leach
100406,Clive Smith
100407,Luigi Cozzi
100408,Lewis Gilbert
100412,Lynne Littman
100413,Sam Peckinpah
100414,Sam Firstenberg
100416,Robert Mandel
100417,Enzo G. Castellari
100418,Alan Johnson
100419,Nicolas Roeg
100422,Antonio Margheriti
100423,George P. Cosmatos
100426,John Mackenzie
100428,Peter Sasdy
100431,Franc Roddam
100434,Joseph Sargent
100436,Jeff Kanew
100438,Jeremy Kagan
100439,John Sayles
100443,Jonathan Kaplan
100444,Amy Holden Jones
100446,Ferdinand Fairfax
100447,Michael Laughlin
100448,Robert Dalva
100450,William Olsen
100452,Bryan Forbes
100453,Marshall Brickman
100454,Donald Shebib
100455,James Toback
100456,Michael Tuchner
100457,Cirio H. Santiago
100459,Robert Lieberman
100461,Lawrence David Foldes
100462,Dick Richards
100464,Terry Bedford
100465,Roland Klick
100466,Richard Pryor
100467,Paul Aaron
100468,Charles Burnett
100469,Richard Michaels
100470,David Nelson
100472,Mark Pirro
100473,David Drury
100474,Frank Zuniga
100475,Tom Logan
100476,James Cameron
100477,David Lynch
100480,Sergio Leone
100481,Hugh Wilson
100486,Martin Brest
100492,Robert Zemeckis
100494,John Hughes
100496,Rob Reiner
100497,Michael Radford
100500,Fritz Kiersch
100501,Nick Castle
100503,Joel Coen
100505,Neal Israel
100506,Hayao Miyazaki
100507,Joseph Zito
100508,Mark Griffiths
100511,Roger Donaldson
100512,Mark L. Lester
100513,Douglas Cheek
100514,Gene Wilder
100516,W.D. Richter
100517,Leonard Nimoy
100518,Alex Cox
100520,Roland Joffé
100523,Thom Eberhardt
100524,Stanley Donen
100525,Joseph Ruben
100527,Stewart Raffill
100531,Jim Jarmusch
100533,David Lean
100534,Albert Magnoli
100536,Stephen Frears
100537,John Guillermin
100540,Frank Oz
100543,Just Jaeckin
100544,Joel Silberg
100546,Neil Jordan
100547,Luca Bercovici
100548,Steve Barron
100551,Charles E. Sellier Jr.
100555,Hy Averback
100556,James Foley
100557,Richard Tuggle
100560,Robert Butler
100562,Stan Lathan
100565,John Byrum
100566,Marvin J. Chomsky
100569,John C. Broderick
100572,Ruggero Deodato
100574,Tengiz Abuladze
100576,Russell Mulcahy
100580,Roger Young
100581,Charles Shyer
100585,William Tannen
100587,Paul Bartel
100588,Jim Sotos
100589,Robert Boris
100590,Douglas Day Stewart
100594,Willard Huyck
100597,Mark Buntzman
100601,Dorian Walker
100602,Éric Rohmer
100605,Gillian Armstrong
100607,Richard Pearce
100610,Peter Webb
100614,Marcelo Epstein
100615,Thomas Rickman
100619,Paolo Taviani
100623,Malcolm Mowbray
100624,Rob Cohen
100625,Paul Bogart
100627,Lawrence Dane
100628,Bobby Roth
100630,Bertrand Tavernier
100632,Armyan Bernstein
100633,Rod Amateau
100634,Richard C. Sarafian
100635,Lawrence Bassoff
100636,Menahem Golan
100637,Ken Cameron
100638,Károly Makk
100639,Roy Battersby
100640,Adam Brooks
100641,Ippei Kuri
100642,Gene Taft
100643,Gérard Lauzier
100648,Jonathan Lynn
100652,Peter Bogdanovich
100654,Dan O'Bannon
100658,Rod Daniel
100665,Savage Steve Holland
100666,Akira Kurosawa
100670,Tom Holland
100672,Paul Verhoeven
100678,Jack Sholder
100681,Tim Burton
100684,Lisa Gottlieb
100688,Jerry Paris
100689,Ted Berman
100690,Danny Steinmann
100691,Andrey Konchalovskiy
100692,Stuart Gordon
100696,Susan Seidelman
100697,Alan Metter
100704,Howard Storm
100706,Jackie Chan
100711,Daniel Attias
100712,Hector Babenco
100715,Joyce Chopra
100716,James Komack
100719,Geoff Murphy
100720,Jûzô Itami
100721,William Malone
100722,David Greenwalt
100723,Corey Yuen
100724,Simon Wincer
100729,Michael Dinner
100733,Kevin Reynolds
100741,Rudy De Luca
100742,Donna Deitch
100743,Cary Medoway
100746,Lasse Hallström
100747,Jonathan R. Betuel
100748,Linda Feferman
100749,James Frawley
100755,Luc Besson
